T?che;Section;?tiquette;Priorit?;Statut;Dur?e estim?e en minutes;Date de d?but;Date de fin
Lire entièrement le sujet d’examen;Gestion De Projet;Gestion de projet;Haute;Done;25;2026-06-21;2026-06-21
Identifier les fonctionnalités obligatoires;Gestion De Projet;Gestion de projet;Haute;Done;25;2026-06-21;2026-06-21
Créer la liste complète des tâches;Gestion De Projet;Gestion de projet;Haute;Done;20;2026-06-21;2026-06-21
Découper les tâches par espace : visiteur, client, employé, admin;Gestion De Projet;Gestion de projet;Haute;Done;20;2026-06-21;2026-06-21
Créer le tableau Notion;Gestion De Projet;Gestion de projet;Haute;Done;20;2026-06-21;2026-06-21
Créer les colonnes Notion;Gestion De Projet;Gestion de projet;Haute;Not started;20;2026-06-21;2026-06-21
Créer les étiquettes Notion;Gestion De Projet;Gestion de projet;Haute;Done;20;2026-06-21;2026-06-21
Ajouter les cartes une par une;Gestion De Projet;Gestion de projet;Haute;Done;20;2026-06-21;2026-06-21
Estimer les durées des tâches;Gestion De Projet;Gestion de projet;Moyenne;Done;15;2026-06-21;2026-06-21
Mettre à jour Notion chaque jour;Gestion De Projet;Gestion de projet;Haute;Done;20;2026-06-21;2026-06-21
Créer un planning jusqu’à la date de rendu;Gestion De Projet;Gestion de projet;Haute;Not started;20;2026-06-21;2026-06-21
Prévoir une marge pour les bugs;Gestion De Projet;Gestion de projet;Haute;Not started;20;2026-06-21;2026-06-21
Créer la base vite_et_gourmand;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table roles;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table utilisateurs;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Ajouter les champs employés dans utilisateurs;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table menus;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table entree;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table plat;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table dessert;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table commandes;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table statuts_commande;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table historique_statuts_commande;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-21;2026-06-21
Créer la table avis;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Créer la table contact;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les clés primaires;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les clés étrangères;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Vérifier les relations dans phpMyAdmin;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les rôles en base;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les statuts de commande;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les menus;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les entrées;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les plats;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les desserts;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les chemins d’images;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Ajouter les comptes de test;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Préparer le fichier SQL de création;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Préparer le fichier SQL d’insertion;Base De Données MySQL;Base de données;Haute;Done;15;2026-06-23;2026-06-23
Tester la réimportation complète de la base;Base De Données MySQL;Tests;Haute;Not started;15;2026-06-23;2026-06-23
